iter	Passed	Remaining
731	10341	3786
732	10355	3772
733	10370	3758
734	10383	3743
735	10398	3729
736	10412	3715
737	10426	3701
738	10440	3687
739	10455	3673
740	10470	3659
741	10484	3645
742	10498	3631
743	10512	3617
744	10526	3603
745	10540	3589
746	10556	3575
747	10570	3561
748	10584	3547
749	10598	3532
750	10612	3518
751	10627	3504
752	10641	3490
753	10655	3476
754	10669	3462
755	10684	3448
756	10698	3434
757	10712	3420
758	10726	3405
759	10740	3391
760	10754	3377
761	10768	3363
762	10782	3349
763	10796	3335
764	10810	3320
765	10824	3306
766	10838	3292
767	10852	3278
768	10865	3263
769	10879	3249
770	10893	3235
771	10907	3221
772	10921	3207
773	10935	3192
774	10949	3178
775	10963	3164
776	10976	3150
777	10990	3136
778	11004	3122
779	11019	3107
780	11033	3093
781	11047	3079
782	11061	3065
783	11075	3051
784	11090	3037
785	11103	3022
786	11117	3008
787	11131	2994
788	11146	2980
789	11159	2966
790	11173	2952
791	11187	2938
792	11201	2923
793	11215	2909
794	11229	2895
795	11244	2881
796	11258	2867
797	11272	2853
798	11285	2839
799	11299	2824
800	11313	2810
801	11327	2796
802	11341	2782
803	11355	2768
804	11369	2753
805	11383	2739
806	11400	2726
807	11416	2712
808	11431	2698
809	11446	2684
810	11460	2670
811	11475	2656
812	11489	2642
813	11503	2628
814	11517	2614
815	11531	2600
816	11546	2586
817	11560	2572
818	11574	2557
819	11588	2543
820	11617	2532
821	11631	2518
822	11645	2504
823	11659	2490
824	11673	2476
825	11687	2461
826	11701	2447
827	11715	2433
828	11728	2419
829	11743	2405
830	11757	2391
831	11771	2376
832	11785	2362
833	11799	2348
834	11813	2334
835	11827	2320
836	11841	2305
837	11855	2291
838	11869	2277
839	11883	2263
840	11897	2249
841	11911	2235
842	11925	2220
843	11939	2206
844	11953	2192
845	11968	2178
846	11982	2164
847	11997	2150
848	12011	2136
849	12025	2122
850	12038	2107
851	12052	2093
852	12066	2079
853	12080	2065
854	12095	2051
855	12109	2037
856	12123	2023
857	12137	2008
858	12151	1994
859	12165	1980
860	12180	1966
861	12194	1952
862	12209	1938
863	12223	1924
864	12238	1910
865	12252	1895
866	12267	1881
867	12280	1867
868	12294	1853
869	12308	1839
870	12322	1825
871	12336	1810
872	12351	1796
873	12365	1782
874	12380	1768
875	12395	1754
876	12409	1740
877	12423	1726
878	12438	1712
879	12452	1698
880	12466	1683
881	12480	1669
882	12495	1655
883	12509	1641
884	12523	1627
885	12537	1613
886	12554	1599
887	12568	1585
888	12583	1571
889	12597	1556
890	12611	1542
891	12626	1528
892	12640	1514
893	12653	1500
894	12668	1486
895	12682	1472
896	12697	1457
897	12710	1443
898	12724	1429
899	12738	1415
900	12752	1401
901	12767	1387
902	12781	1372
903	12796	1358
904	12810	1344
905	12824	1330
906	12839	1316
907	12854	1302
908	12868	1288
909	12882	1274
910	12896	1259
911	12910	1245
912	12924	1231
913	12938	1217
914	12953	1203
915	12968	1189
916	12982	1175
917	12996	1160
918	13010	1146
919	13024	1132
920	13038	1118
921	13053	1104
922	13068	1090
923	13081	1075
924	13095	1061
925	13110	1047
926	13124	1033
927	13138	1019
928	13152	1005
929	13167	991
930	13180	976
931	13194	962
932	13208	948
933	13222	934
934	13241	920
935	13255	906
936	13270	892
